ID,Date,Latitude,Longitude,windPressure,windSpeed,Storm Develops
west bengal_2025-05-12,2025-05-12,23.022846,87.6489,1004.5,15.5,0
west bengal_2025-05-13,2025-05-13,23.022846,87.6489,1005.3,15.3,0
west bengal_2025-05-14,2025-05-14,23.022846,87.6489,1006.1,18.5,0
west bengal_2025-05-15,2025-05-15,23.022846,87.6489,1006.0,19.6,0
west bengal_2025-05-16,2025-05-16,23.022846,87.6489,1005.7,17.3,0
west bengal_2025-05-17,2025-05-17,23.022846,87.6489,1006.7,21.2,0
west bengal_2025-05-18,2025-05-18,23.022846,87.6489,1008.0,19.5,0
west bengal_2025-05-19,2025-05-19,23.022846,87.6489,1007.1,16.5,0
west bengal_2025-05-20,2025-05-20,23.022846,87.6489,1005.0,23.5,0
west bengal_2025-05-21,2025-05-21,23.022846,87.6489,1006.9,19.7,0
west bengal_2025-05-22,2025-05-22,23.022846,87.6489,1006.8,14.6,0
west bengal_2025-05-23,2025-05-23,23.022846,87.6489,1004.4,9.1,0
west bengal_2025-05-24,2025-05-24,23.022846,87.6489,1004.2,10.3,0
west bengal_2025-05-25,2025-05-25,23.022846,87.6489,1005.0,15.3,0
west bengal_2025-05-26,2025-05-26,23.022846,87.6489,1004.0,14.5,0
west bengal_2025-05-27,2025-05-27,23.022846,87.6489,1000.8,17.9,0
west bengal_2025-05-28,2025-05-28,23.022846,87.6489,998.2,21.2,0
west bengal_2025-05-29,2025-05-29,23.022846,87.6489,994.7,25.2,0
west bengal_2025-05-30,2025-05-30,23.022846,87.6489,999.5,19.6,0
west bengal_2025-05-31,2025-05-31,23.022846,87.6489,1000.5,15.6,0
west bengal_2025-06-01,2025-06-01,23.022846,87.6489,1000.2,10.8,0
west bengal_2025-06-02,2025-06-02,23.022846,87.6489,1001.1,12.4,0
west bengal_2025-06-03,2025-06-03,23.022846,87.6489,1002.9,15.5,0
west bengal_2025-06-04,2025-06-04,23.022846,87.6489,1006.1,15.1,0
west bengal_2025-06-05,2025-06-05,23.022846,87.6489,1007.3,14.0,0
west bengal_2025-06-06,2025-06-06,23.022846,87.6489,1007.3,11.6,0
west bengal_2025-06-07,2025-06-07,23.022846,87.6489,1007.2,9.1,0
west bengal_2025-06-08,2025-06-08,23.022846,87.6489,1004.8,9.2,0
west bengal_2025-06-09,2025-06-09,23.022846,87.6489,1003.5,12.0,0
west bengal_2025-06-10,2025-06-10,23.022846,87.6489,1002.5,12.5,0
west bengal_2025-06-11,2025-06-11,23.022846,87.6489,1002.0,6.7,0
