ID,Date,Latitude,Longitude,windPressure,windSpeed,Storm Develops
mexico_2025-05-12,2025-05-12,23.655535,-101.962036,1021.9,21.8,0
mexico_2025-05-13,2025-05-13,23.655535,-101.962036,1018.9,19.4,0
mexico_2025-05-14,2025-05-14,23.655535,-101.962036,1016.0,22.2,0
mexico_2025-05-15,2025-05-15,23.655535,-101.962036,1015.1,17.5,0
mexico_2025-05-16,2025-05-16,23.655535,-101.962036,1014.6,24.3,0
mexico_2025-05-17,2025-05-17,23.655535,-101.962036,1015.7,25.6,0
mexico_2025-05-18,2025-05-18,23.655535,-101.962036,1014.7,25.5,0
mexico_2025-05-19,2025-05-19,23.655535,-101.962036,1013.6,26.5,0
mexico_2025-05-20,2025-05-20,23.655535,-101.962036,1014.4,27.8,0
mexico_2025-05-21,2025-05-21,23.655535,-101.962036,1017.2,26.4,0
mexico_2025-05-22,2025-05-22,23.655535,-101.962036,1019.3,24.5,0
mexico_2025-05-23,2025-05-23,23.655535,-101.962036,1019.2,24.5,0
mexico_2025-05-24,2025-05-24,23.655535,-101.962036,1019.2,31.6,0
mexico_2025-05-25,2025-05-25,23.655535,-101.962036,1019.3,28.3,0
mexico_2025-05-26,2025-05-26,23.655535,-101.962036,1019.7,22.2,0
mexico_2025-05-27,2025-05-27,23.655535,-101.962036,1018.0,31.4,0
mexico_2025-05-28,2025-05-28,23.655535,-101.962036,1018.4,36.0,1
mexico_2025-05-29,2025-05-29,23.655535,-101.962036,1019.1,31.9,0
mexico_2025-05-30,2025-05-30,23.655535,-101.962036,1020.2,28.0,0
mexico_2025-05-31,2025-05-31,23.655535,-101.962036,1020.6,19.9,0
mexico_2025-06-01,2025-06-01,23.655535,-101.962036,1020.0,15.2,0
mexico_2025-06-02,2025-06-02,23.655535,-101.962036,1018.5,23.6,0
mexico_2025-06-03,2025-06-03,23.655535,-101.962036,1017.6,22.4,0
mexico_2025-06-04,2025-06-04,23.655535,-101.962036,1016.1,22.2,0
mexico_2025-06-05,2025-06-05,23.655535,-101.962036,1017.7,25.2,0
mexico_2025-06-06,2025-06-06,23.655535,-101.962036,1019.4,27.3,0
mexico_2025-06-07,2025-06-07,23.655535,-101.962036,1019.1,28.8,0
mexico_2025-06-08,2025-06-08,23.655535,-101.962036,1018.0,27.2,0
mexico_2025-06-09,2025-06-09,23.655535,-101.962036,1016.8,26.9,0
