ID,Date,Latitude,Longitude,windPressure,windSpeed,Storm Develops
Arabian Sea_2025-05-12,2025-05-12,12.407733,63.03249,1010.2,24.6,0
Arabian Sea_2025-05-13,2025-05-13,12.407733,63.03249,1011.3,23.1,0
Arabian Sea_2025-05-14,2025-05-14,12.407733,63.03249,1011.5,18.3,0
Arabian Sea_2025-05-15,2025-05-15,12.407733,63.03249,1011.0,15.1,0
Arabian Sea_2025-05-16,2025-05-16,12.407733,63.03249,1010.6,21.0,0
Arabian Sea_2025-05-17,2025-05-17,12.407733,63.03249,1009.6,24.5,0
Arabian Sea_2025-05-18,2025-05-18,12.407733,63.03249,1009.3,29.8,0
Arabian Sea_2025-05-19,2025-05-19,12.407733,63.03249,1007.4,33.5,0
Arabian Sea_2025-05-20,2025-05-20,12.407733,63.03249,1007.4,33.3,0
Arabian Sea_2025-05-21,2025-05-21,12.407733,63.03249,1008.0,35.8,1
Arabian Sea_2025-05-22,2025-05-22,12.407733,63.03249,1008.3,42.1,1
Arabian Sea_2025-05-23,2025-05-23,12.407733,63.03249,1006.3,47.3,1
Arabian Sea_2025-05-24,2025-05-24,12.407733,63.03249,1006.5,48.1,1
Arabian Sea_2025-05-25,2025-05-25,12.407733,63.03249,1008.2,50.4,1
Arabian Sea_2025-05-26,2025-05-26,12.407733,63.03249,1009.3,47.5,1
Arabian Sea_2025-05-27,2025-05-27,12.407733,63.03249,1009.1,46.7,1
Arabian Sea_2025-05-28,2025-05-28,12.407733,63.03249,1008.5,51.5,1
Arabian Sea_2025-05-29,2025-05-29,12.407733,63.03249,1008.4,54.4,1
Arabian Sea_2025-05-30,2025-05-30,12.407733,63.03249,1008.6,50.1,1
Arabian Sea_2025-05-31,2025-05-31,12.407733,63.03249,1009.7,52.1,1
Arabian Sea_2025-06-01,2025-06-01,12.407733,63.03249,1010.5,49.4,1
Arabian Sea_2025-06-02,2025-06-02,12.407733,63.03249,1008.6,47.5,1
Arabian Sea_2025-06-03,2025-06-03,12.407733,63.03249,1009.3,48.2,1
Arabian Sea_2025-06-04,2025-06-04,12.407733,63.03249,1010.7,40.4,1
Arabian Sea_2025-06-05,2025-06-05,12.407733,63.03249,1011.5,36.0,1
Arabian Sea_2025-06-06,2025-06-06,12.407733,63.03249,1012.1,28.9,0
Arabian Sea_2025-06-07,2025-06-07,12.407733,63.03249,1013.1,30.6,0
Arabian Sea_2025-06-08,2025-06-08,12.407733,63.03249,1012.6,30.4,0
Arabian Sea_2025-06-09,2025-06-09,12.407733,63.03249,1012.2,29.0,0
Arabian Sea_2025-06-10,2025-06-10,12.407733,63.03249,1010.1,31.6,0
Arabian Sea_2025-06-11,2025-06-11,12.407733,63.03249,1008.3,29.7,0
