ID,Date,Latitude,Longitude,windPressure,windSpeed,Storm Develops
dubai_2025-05-12,2025-05-12,25.06151,55.183193,1005.9,20.8,0
dubai_2025-05-13,2025-05-13,25.06151,55.183193,1006.0,22.5,0
dubai_2025-05-14,2025-05-14,25.06151,55.183193,1006.8,25.5,0
dubai_2025-05-15,2025-05-15,25.06151,55.183193,1008.2,24.1,0
dubai_2025-05-16,2025-05-16,25.06151,55.183193,1007.5,24.2,0
dubai_2025-05-17,2025-05-17,25.06151,55.183193,1005.2,24.3,0
dubai_2025-05-18,2025-05-18,25.06151,55.183193,1006.4,19.8,0
dubai_2025-05-19,2025-05-19,25.06151,55.183193,1004.6,17.9,0
dubai_2025-05-20,2025-05-20,25.06151,55.183193,1003.3,17.9,0
dubai_2025-05-21,2025-05-21,25.06151,55.183193,1003.1,17.8,0
dubai_2025-05-22,2025-05-22,25.06151,55.183193,1002.4,18.3,0
dubai_2025-05-23,2025-05-23,25.06151,55.183193,999.4,20.2,0
dubai_2025-05-24,2025-05-24,25.06151,55.183193,998.7,16.2,0
dubai_2025-05-25,2025-05-25,25.06151,55.183193,1000.1,24.9,0
dubai_2025-05-26,2025-05-26,25.06151,55.183193,1002.1,20.1,0
dubai_2025-05-27,2025-05-27,25.06151,55.183193,1001.8,22.4,0
dubai_2025-05-28,2025-05-28,25.06151,55.183193,1001.2,21.3,0
dubai_2025-05-29,2025-05-29,25.06151,55.183193,1001.0,22.7,0
dubai_2025-05-30,2025-05-30,25.06151,55.183193,1000.5,22.5,0
dubai_2025-05-31,2025-05-31,25.06151,55.183193,1002.8,22.5,0
dubai_2025-06-01,2025-06-01,25.06151,55.183193,1003.8,18.0,0
dubai_2025-06-02,2025-06-02,25.06151,55.183193,1002.0,21.2,0
dubai_2025-06-03,2025-06-03,25.06151,55.183193,1000.0,20.7,0
dubai_2025-06-04,2025-06-04,25.06151,55.183193,1001.5,23.7,0
dubai_2025-06-05,2025-06-05,25.06151,55.183193,1004.7,23.2,0
dubai_2025-06-06,2025-06-06,25.06151,55.183193,1006.7,22.5,0
dubai_2025-06-07,2025-06-07,25.06151,55.183193,1007.1,25.5,0
dubai_2025-06-08,2025-06-08,25.06151,55.183193,1006.2,26.3,0
dubai_2025-06-09,2025-06-09,25.06151,55.183193,1006.5,27.4,0
dubai_2025-06-10,2025-06-10,25.06151,55.183193,1004.0,7.2,0
