ID,DateTime,Magnitude,Depth,Latitude,Longitude,AfterShock_Risk
2025-05-13 05:03:35_35.8935_140.1659,2025-05-13 05:03:35,4.5,77.893,35.8935,140.1659,Low
2025-05-04 09:05:42_35.6059_139.6685,2025-05-04 09:05:42,4.5,77.823,35.6059,139.6685,Low
